id,name_hi,name_en,gender,tribe_hi,state,district,birth,death,category,tags,first_achievement,medals,awards,verify,verify_note,sources,memorial
birsa-munda,भगवान बिरसा मुंडा,Birsa Munda,M,मुंडा,झारखंड,खूंटी (उलिहातु),1875-11-15,1900-06-09,freedom,shahid;icon,उलगुलान (1899-1900) के नायक; 'जल-जंगल-जमीन' के रक्षक; जनजातीय गौरव दिवस (15 नव.) इन्हीं की जयंती पर,,,False,,प्रभात खबर (2023-2025) | विकिपीडिया | भारत सरकार (जनजातीय गौरव दिवस घोषणा 2021),"उलिहातु स्मारक, राँची में बिरसा संग्रहालय"
sidhu-murmu,सिदो मुर्मू,Sidhu Murmu,M,संथाल,झारखंड,साहिबगंज (भोगनाडीह),?,1855,freedom,shahid,संथाल हुल (1855-56) के प्रमुख नायक,,,False,,प्रभात खबर (2025) | विकिपीडिया,"भोगनाडीह स्मारक, दुमका"
kanhu-murmu,कान्हू मुर्मू,Kanhu Murmu,M,संथाल,झारखंड,साहिबगंज,?,1855,freedom,shahid,संथाल हुल के सह-नायक,,,False,,प्रभात खबर (2025),भोगनाडीह स्मारक
phulo-jhano,फुलो-झानो मुर्मू,Phulo-Jhano Murmu,F,संथाल,झारखंड,साहिबगंज/दुमका क्षेत्र,?,1855,freedom,shahid;women,संथाल हुल की वीरांगनाएँ — आदिवासी महिला प्रतिरोध का प्रतीक,,,True,जीवन-विवरण लोक-स्मृति आधारित; अकादमिक स्रोत-जाँच आवश्यक,प्रभात खबर (2023),झारखंड में अनेक स्मारक
tilka-manjhi,तिलका मांझी,Tilka Manjhi,M,पहाड़िया/संथाल (मांझी परंपरा),बिहार,भागलपुर,≈1750,1784,freedom,shahid;first,अंग्रेजों के विरुद्ध प्रथम सशस्त्र आदिवासी विद्रोह (1778-84); 1784 में भागलपुर में फाँसी,,,True,जनजाति-वर्गीकरण स्रोतों में भिन्न (पहाड़िया/संथाल),प्रभात खबर (2025) | विकिपीडिया,"तिलका मांझी चौक व प्रतिमा, भागलपुर"
nilambar-pitambar,नीलाम्बर-पीताम्बर,Nilambar-Pitambar,M,चेरो,झारखंड,पलामू,?,≈1858,freedom,shahid,1857-58 पलामू विद्रोह के नायक,,,True,मृत्यु-विवरण स्रोतानुसार भिन्न,स्वादेश न्यूज़ (2024) | विकिपीडिया,पलामू स्मारक
budhu-bhagat,वीर बुधु भगत,Budhu Bhagat,M,उराँव,झारखंड,राँची/लोहरदगा क्षेत्र,≈1790s,1832,freedom,shahid,कोल विद्रोह (1831-32) के सेनापति; 1832 में फाँसी,,,False,,प्रभात खबर (2023) | विकिपीडिया,झारखंड में स्मारक; डाक टिकट (2023? सत्यापन)
telanga-kharia,तेलंगा खड़िया,Telanga Kharia,M,खड़िया,झारखंड,गुमला/सिमडेगा,≈1806,≈1914 (फाँसी — सत्यापन),freedom,shahid,खड़िया विद्रोह के नायक,,,True,जन्म-मृत्यु वर्ष सत्यापन आवश्यक,प्रभात खबर (2023),गुमला क्षेत्र में स्मारक
telangi-munda,तेलंगी मुंडा,Telangi Munda,F,मुंडा,झारखंड,राँची,?,?,freedom,shahid;women,उलगुलान-काल की खड़िया-मुंडा वीरांगना,,,True,अकादमिक दस्तावेजीकरण सीमित,प्रभात खबर (2023),राँची क्षेत्र
jatra-bhagat,जतरा टाना भगत,Jatra Bhagat,M,उराँव,झारखंड,गुमला/राँची,≈1880s,≈1920s?,freedom,shahid,टाना भगत आंदोलन (1914–) के प्रवर्तक — अहिंसक कर-बहिष्कार,,,True,मृत्यु-विवरण अस্পष्ट,प्रभात खबर (2025),टाना भगत समुदाय स्मारक
rani-durgavati,वीरांगना रानी दुर्गावती,Rani Durgavati,F,गोंड,मध्य प्रदेश,जबलपुर/मंडला (गढ़ा-मंडला),1524,1564-06-24,freedom,shahid;women;gond,गोंडवाना की रानी; 24 जून 1564 को अकबरी सेना से लड़ते हुए बलिदान,,,False,,शोध-डोसियर §7 | etvbharat/bhaskar रिपोर्टें,"बलिदान स्थल स्मारक (जबलपुर-मंडला), रानी दुर्गावती संग्रहालय जबलपुर"
shankar-shah,शंकर शाह (गोंडवाना),Shankar Shah,M,गोंड,मध्य प्रदेश,जबलपुर,≈1790s,1857-09-18,freedom,shahid;gond,1857 में गोंडवाना के अंतिम गोंड शासक; पुत्र रघुनाथ शाह सहित तोप से बलिदान,,,False,,शोध-डोसियर §7 | opindia/abplive/etvbharat,जबलपुर स्मारक; 18 सितंबर बलिदान दिवस
raghunath-shah,कुंवर रघुनाथ शाह,Kunwar Raghunath Shah,M,गोंड,मध्य प्रदेश,जबलपुर,?,1857-09-18,freedom,shahid;gond,पिता शंकर शाह के साथ 1857 का बलिदान,,,False,,शोध-डोसियर §7,जबलपुर स्मारक
