id,name_hi,name_en,category,state,district,lat,lon,gps_precision,year,significance,map_pin_id,verify,verify_note,sources
narrai-nala,नरई नाला — रानी दुर्गावती शहीदी स्थल,"Narrai Nala, Jabalpur",shahid,मध्य प्रदेश,जबलपुर,23.15,79.92,approximate,1564-06-24,"1564 में रानी दुर्गावती का मुग़ल सेनापति असफ़ ख़ाँ से अंतिम युद्ध एवं शहादत — नरई नाला, जबलपुर।",,True,सटीक GPS फ़ील्ड-सत्यापन शेष,रिसर्च डॉसियर: opindia/बालाघाट-जबलपुर स्रोत; ऐतिहासिक सर्वसम्मति
rd-museum-jabalpur,रानी दुर्गावती संग्रहालय एवं स्मारक,"Rani Durgavati Museum, Jabalpur",smarak,मध्य प्रदेश,जबलपुर,23.1647,79.9239,approximate,,गोंड रानी दुर्गावती की स्मृति में संग्रहालय; गोंडवाना कलाकृतियाँ संग्रहित।,,True,स्थिति अनुमानित,सामान्य ज्ञान-स्रोत (ASI/राज्य संग्रहालय)
shankar-shah-jabalpur,शंकर शाह–रघुनाथ शाह शहीदी स्थल (कैंट),Shankar & Raghunath Shah Martyrdom Site,shahid,मध्य प्रदेश,जबलपुर,23.177,79.946,approximate,1857-09-18,18 सितंबर 1857 — गोंड राजा शंकर शाह व पुत्र रघुनाथ शाह को अंग्रेज़ों ने जबलपुर छावनी में तोप से बाँधकर उड़ा दिया।,,True,छावनी-क्षेत्र स्तर GPS,रिसर्च डॉसियर: opindia/abplive/etvbharat (2023-24 लेख)
madan-mahal,मदन महल किला,Madan Mahal Fort,aitihasik,मध्य प्रदेश,जबलपुर,23.1639,79.9225,exact,,"17वीं सदी — गोंड राजा मदन शाह द्वारा निर्मित किला, भेड़ाघाट-नर्मदा दृश्य सहित।",,False,,MP पर्यटन/पुरातत्व (सुप्रसिद्ध स्थल)
amarkantak,अमरकंटक — नर्मदा उद्गम,Amarkantak,dharmik,मध्य प्रदेश,अनुपपुर,22.6715,81.7513,exact,,नर्मदा का उद्गम-स्थल; मैकाल पर्वत गोंड परंपरा का पवित्र केंद्र। मैकाल = गोंड 'पूजा-पर्वत'।,amarkantak,False,,रिसर्च डॉसियर + MP पर्यटन
chausath-yogini-bhedaghat,"चौंसठ योगिनी मंदिर, भेड़ाघाट","Chausath Yogini Temple, Bhedaghat",dharmik,मध्य प्रदेश,जबलपुर,23.1297,79.7973,approximate,,"10वीं सदी कलचुरि-कालीन मंदिर (गोंड-काल से पूर्व, गोंडवाना क्षेत्र का तीर्थ)।",,True,GPS ±200m,ASI (सुप्रसिद्ध स्थल)
garha-fort-mandla,गढ़ा-मंडला किला,Garha-Mandla Fort,aitihasik,मध्य प्रदेश,मंडला,22.82,80.36,approximate,,"गढ़ा-मंडला गोंड साम्राज्य की राजधानी — '52 गढ़, 56 दरवार' परंपरा का केंद्र।",garha-mandla,False,,रिसर्च डॉसियर (Garha-Mandla 52-garh)
devgarh-fort,देवगढ़ किला (गोंड राजधानी),"Deogarh Fort, Chhindwara",aitihasik,मध्य प्रदेश,छिंदवाड़ा,21.9,78.89,approximate,,देवगढ़ गोंड राज्य की राजधानी; ऐतिहासिक गढ़-नगरी।,devgarh,False,,ऐप-पिन डेटाबेस (रिसर्च-सत्यापित)
kherla-fort,खेड़ला किला,"Kherla Fort, Betul",aitihasik,मध्य प्रदेश,बैतूल,21.85,77.88,approximate,,खेड़ला (खंडवा-बैतूल क्षेत्र) का ऐतिहासिक गढ़ — गोंड-कालीन किला अवशेष।,kherla,False,,ऐप-पिन डेटाबेस (रिसर्च-सत्यापित)
avantibai-ramgarh,रानी अवंतीबाई लोधी स्मारक — रामगढ़,Rani Avantibai Lodhi Memorial,smarak,मध्य प्रदेश,दिनदोरी/मंडला (रामगढ़ रियासत),22.95,81.08,district-level,1858,1857-58 — रानी अवंतीबाई का अंग्रेज़ों से युद्ध (खेरी) एवं बलिदान; रामगढ़ रियासत की रानी।,,True,जिला-स्तरीय GPS,रिसर्च डॉसियर; स्मारक-स्थल फ़ील्ड-जाँच शेष
danteshwari-jagdalpur,"माँ दंतेश्वरी मंदिर, जगदलपुर","Danteshwari Temple, Jagdalpur",dharmik,छत्तीसगढ़,बस्तर,19.076,82.0285,approximate,,बस्तर की कुलदेवी माँ दंतेश्वरी; बस्तर दशहरा (75-दिन) का केंद्र।,jagdalpur,False,,रिसर्च डॉसियर + छत्तीसगढ़ पर्यटन
danteshwari-dantewada,"माँ दंतेश्वरी मंदिर, दंतेवाड़ा","Danteshwari Temple, Dantewada",dharmik,छत्तीसगढ़,दंतेवाड़ा,18.9,81.35,approximate,,आदि-दंतेश्वरी शक्तिपीठ — बस्तर क्षेत्र की सबसे प्राचीन देवी-परंपरा।,dantewada,False,,ऐप-पिन डेटाबेस (रिसर्च-सत्यापित)
bhumkal-smarak,"भूमकल विद्रोह स्मारक, जगदलपुर",Bhumkal Revolt Memorial,smarak,छत्तीसगढ़,बस्तर,19.08,82.03,city-level,1910,1910 का भूमकल (बस्तर) विद्रोह — नायक गुंडा धूर (कभी पकड़ाए नहीं)।,,True,स्मारक की सटीक स्थिति शेष,रिसर्च डॉसियर (Gunda Dhur 1910)
veer-narayan-sonakhan,वीर नारायण सिंह स्मारक — सोनाखन,"Veer Narayan Singh Memorial, Sonakhan",smarak,छत्तीसगढ़,रायपुर,21.42,81.93,approximate,1857,1857 — छत्तीसगढ़ के प्रथम स्वतंत्रता सेनानी वीर नारायण सिंह का जन्मस्थल सोनाखन; रायपुर में फाँसी।,,True,GPS अनुमानित,रिसर्च डॉसियर (CG शहीद-सूची)
bhoramdeo,भोरामदेव मंदिर,"Bhoramdeo Temple, Kawardha",dharmik,छत्तीसगढ़,कबीरधाम (कवर्धा),22.1147,81.4636,approximate,,'छत्तीसगढ़ का खजुराहो' — नागवंशी गोंड राजाओं द्वारा निर्मित 11-12वीं सदी शिव मंदिर।,,True,GPS ±300m,छत्तीसगढ़ पर्यटन/पुरातत्व (सुप्रसिद्ध)
bamleshwari-dongargarh,"माँ बमलेश्वरी मंदिर, डोंगरगढ़","Bamleshwari Temple, Dongargarh",dharmik,छत्तीसगढ़,राजनांदगांव,21.19,80.7533,approximate,,पूर्वी पहाड़ी पर माँ बमलेश्वरी — गोंड-क्षेत्र का प्रमुख शक्तिपीठ।,,True,GPS ±300m,छत्तीसगढ़ पर्यटन (सुप्रसिद्ध)
ratanpur-mahamaya,"महामाया मंदिर, रतनपुर","Mahamaya Temple, Ratanpur",dharmik,छत्तीसगढ़,बिलासपुर,22.2869,82.1717,approximate,,ऐतिहासिक रतनपुर नगरी (कलचुरि-हैहयवंश) का माँ महामाया मंदिर।,,True,GPS ±300m,छत्तीसगढ़ पुरातत्व (सुप्रसिद्ध)
sitabengri,सीताबेंगरी गुफाएँ,"Sitabengri Caves, Koriya",aitihasik,छत्तीसगढ़,कोरिया,23.44,82.29,approximate,,प्राचीन गुफा-स्थल (बौद्ध-कालीन अवशेष) — कोरिया गोंडवाना क्षेत्र।,,True,GPS अनुमानित,छत्तीसगढ़ पुरातत्व
ulihatu,उलिहातु — बिरसा मुंडा जन्मस्थल,Ulihatu (Birsa Munda Birthplace),smarak,झारखंड,खूंटी,23.0,85.15,approximate,1875-11-15,15 नवंबर 1875 — भगवान बिरसा मुंडा का जन्मस्थल; उलगुलान का स्मृति-केंद्र।,,True,गाँव-स्तरीय GPS फ़ील्ड-जाँच शेष,झारखंड पर्यटन/सर्वसम्मति
sail-rakab,सैल रकाब — बिरसा मुंडा गिरफ़्तारी स्थल,Sail Rakab,aitihasik,झारखंड,खूंटी/रांची सीमा,23.07,85.28,city-level,1900-01-03,3 जनवरी 1900 — बिरसा मुंडा की गिरफ़्तारी (चक्रधरपुर-खूंटी क्षेत्र); 9 जून 1900 रांची जेल में निधन।,,True,सटीक गाँव-स्थिति जाँच शेष,उलगुलान साहित्य
dambari-buru,दामबरी बुड़ु — सरंडा,"Dambari Buru, Saranda",shahid,झारखंड,पश्चिमी सिंहभूम,22.35,85.4,region-level,1900-01-09,9 जनवरी 1900 — बिरसा-अनुयायियों की सामूहिक हत्या (सैकड़ों शहीद); सरंडा वन।,,True,"वन-क्षेत्र, GPS अनुमानित",उलगुलान साहित्य
bhognadih,सिदो-कानहु शहीदी स्थल — भोगनाडीह,"Sidhu-Kanhu Martyrdom Site, Bhognadih",shahid,झारखंड,साहिबगंज,25.0,87.6,approximate,1855,1855 संथाल हुल के नायक सिदो-कानहु की फाँसी/शहादत — भोगनाडीह।,,True,गाँव-स्तरीय GPS जाँच शेष,संथाल हुल साहित्य
tilka-manjhi-bhagalpur,"तिलका मांझी शहीदी स्थल, भागलपुर","Tilka Manjhi Martyrdom Site, Bhagalpur",shahid,बिहार,भागलपुर,25.24,86.98,city-level,1784-01-13,13 जनवरी 1784 — अंग्रेज़ों के विरुद्ध प्रथम आदिवासी सशस्त्र विद्रोह के नायक तिलका मांझी को बरगद से लटकाया गया।,,True,सटीक स्थल (फाँसी-वृक्ष) शेष,ऐतिहासिक सर्वसम्मति; भागलपुर में तिलका मांझी चौक
budhu-bhagat,बुधु भगत स्मारक,"Budhu Bhagat Memorial, W. Singhbhum",smarak,झारखंड,पश्चिमी सिंहभूम,22.45,85.8,region-level,1832,1832 कोल विद्रोह के नायक बुधु भगत (हो जनजाति) की शहादत।,,True,स्मारक-स्थिति फ़ील्ड-जाँच शेष,कोल-विद्रोह साहित्य
nilambar-pitambar,"नीलाम्बर-पितंबर स्मारक, पलामू","Nilambar-Pitambar Memorial, Palamu",smarak,झारखंड,पलामू (मेदिनीनगर),24.2,84.07,city-level,1770s-1800,1770-1800 के पलामू विद्रोह के नायक चेरों-भाई नीलाम्बर व पितंबर।,,True,GPS शहर-स्तरीय,पलामू विद्रोह साहित्य
pahari-mandir-ranchi,"पहाड़ी मंदिर, रांची","Pahari Mandir, Ranchi",dharmik,झारखंड,रांची,23.3478,85.3108,approximate,,रांची की पहाड़ी पर शिव मंदिर — आदिवासी-बहुल क्षेत्र का प्रमुख तीर्थ।,,True,GPS ±200m,झारखंड पर्यटन (सुप्रसिद्ध)
rajrappa,रजरप्पा छिन्नमस्ता मंदिर,Rajrappa Chhinnamasta Temple,dharmik,झारखंड,रामगढ़,23.6164,85.4778,approximate,,छिन्नमस्ता शक्तिपीठ — संथाल/मुंडा-बहुल क्षेत्र की आस्था का केंद्र; दामोदर-भैरवी संगम।,,True,GPS ±200m,झारखंड पर्यटन (सुप्रसिद्ध)
maluti,मालुती मंदिर ग्राम,"Maluti Temple Village, Dumka",aitihasik,झारखंड,दुमका,24.1,87.85,approximate,,टेराकोटा मंदिरों का ऐतिहासिक ग्राम — संथाल परगना क्षेत्र।,,True,GPS ±500m,झारखंड पर्यटन
